source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
hsa-let-7c,hsa-miR-99a,miRNA,miRNA,miRNA-miRNA,coexpression,0.9055791295793556,0.9055791295793556,7.298461484730199e-17,2.2484875574111114e-14,False,False
hsa-let-7c,hsa-miR-216a,miRNA,miRNA,miRNA-miRNA,coexpression,0.7973518852965882,0.7973518852965882,1.562564247259135e-10,1.5263584903104477e-08,False,False
hsa-let-7c,hsa-miR-125b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7774566018525252,0.7774566018525252,8.683983795981889e-10,5.796559183817911e-08,False,False
hsa-let-7c,BCL2A1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3182679754733348,-0.3182679754733348,0.03752994201820602,0.42305757454047527,False,False
hsa-let-7f,CSK,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3403719111713573,-0.3403719111713573,0.025525808012835084,0.35835674758966246,False,False
hsa-let-7f,LCK,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3332874185354384,-0.3332874185354384,0.028963878596090138,0.379373339840114,False,False
hsa-let-7g,hsa-miR-16 (+++ See note below),miRNA,miRNA,miRNA-miRNA,coexpression,0.780044637213063,0.780044637213063,7.017616106338683e-10,4.930798685243233e-08,False,False
hsa-let-7g,hsa-miR-26b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7762648264681072,0.7762648264681072,9.570102978419595e-10,6.113496597872255e-08,False,False
hsa-let-7g,hsa-miR-509-3p,miRNA,miRNA,miRNA-miRNA,coexpression,0.7289684651563793,0.7289684651563793,2.973195507133261e-08,9.602941940377991e-07,False,False
hsa-let-7i,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,coexpression,0.8779280475112721,0.8779280475112721,1.0777779780521265e-14,2.5391181188816272e-12,False,False
hsa-let-7i,hsa-miR-216a,miRNA,miRNA,miRNA-miRNA,coexpression,0.737587844765941,0.737587844765941,1.6790415019823747e-08,6.465924245614819e-07,False,False
hsa-miR-9,hsa-miR-340,miRNA,miRNA,miRNA-miRNA,coexpression,0.7371163414169838,0.7371163414169838,1.7333400901507736e-08,6.524270322551835e-07,False,False
hsa-miR-9,hsa-miR-98,miRNA,miRNA,miRNA-miRNA,coexpression,0.7338368418037162,0.7338368418037162,2.1588519076874842e-08,7.518436426337716e-07,False,False
hsa-miR-10b,hsa-miR-125b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7356405954512443,0.7356405954512443,1.9140709416046873e-08,7.032893689107131e-07,False,False
hsa-miR-15a,hsa-miR-19b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7820646237783605,0.7820646237783605,5.93067467384083e-10,4.4333552020758e-08,False,False
hsa-miR-15a,hsa-miR-19a,miRNA,miRNA,miRNA-miRNA,coexpression,0.7758902110070648,0.7758902110070648,9.865697246976367e-10,6.173768355334429e-08,False,False
hsa-miR-15a,hsa-miR-101,miRNA,miRNA,miRNA-miRNA,coexpression,0.7711512526083808,0.7711512526083808,1.442461232299835e-09,8.49567240494241e-08,False,False
hsa-miR-15a,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,coexpression,0.742666663617237,0.742666663617237,1.1865794279979317e-08,4.950261051178871e-07,False,False
hsa-miR-15b,hsa-miR-532-5p,miRNA,miRNA,miRNA-miRNA,coexpression,0.8052413849704093,0.8052413849704093,7.504258733697085e-11,8.348487841238006e-09,False,False
hsa-miR-15b,hsa-miR-98,miRNA,miRNA,miRNA-miRNA,coexpression,0.7957903262224798,0.7957903262224798,1.7998396403937516e-10,1.6763622697155757e-08,False,False
hsa-miR-15b,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,coexpression,0.7567509011377592,0.7567509011377592,4.338182347906333e-09,2.256418221216216e-07,False,False
hsa-miR-15b,hsa-miR-660,miRNA,miRNA,miRNA-miRNA,coexpression,0.7351443813337496,0.7351443813337496,1.9786909544972516e-08,7.139330876361705e-07,False,False
hsa-miR-15b,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7218916441331464,0.7218916441331464,4.67825672553287e-08,1.3383155846970816e-06,False,False
hsa-miR-15b,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7114597285936551,0.7114597285936551,8.904865360581445e-08,2.3935560918878315e-06,False,False
hsa-miR-15b,LCK,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.32158002021747384,-0.32158002021747384,0.03548169475277221,0.417821826060682,False,False
hsa-miR-18b,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,coexpression,0.7870791888833187,0.7870791888833187,3.87520615477136e-10,3.302170351033893e-08,False,False
hsa-miR-18b,hsa-miR-19a,miRNA,miRNA,miRNA-miRNA,coexpression,0.7550788894840457,0.7550788894840457,4.905750859926966e-09,2.4559415242509375e-07,False,False
hsa-miR-18b,hsa-miR-19b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7428250980324297,0.7428250980324297,1.1736474414049761e-08,4.947850529291505e-07,False,False
hsa-miR-18b,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7224726043467994,0.7224726043467994,4.509711783800418e-08,1.3279879810013541e-06,False,False
hsa-miR-18b,MPL,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.34955940448302747,-0.34955940448302747,0.02157969933350707,0.3388214474793634,False,False
hsa-miR-19a,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9342572053439868,0.9342572053439868,5.759739831418406e-20,3.2953940035472447e-17,False,False
hsa-miR-19a,hsa-miR-19b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9001977737506048,0.9001977737506048,2.1576381922011264e-16,6.172386399832508e-14,False,False
hsa-miR-19a,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,coexpression,0.8663589521492236,0.8663589521492236,6.152816266000803e-14,1.1200922338787827e-11,False,False
hsa-miR-19a,hsa-miR-106b,miRNA,miRNA,miRNA-miRNA,coexpression,0.771161485237804,0.771161485237804,1.4412925722201461e-09,8.49567240494241e-08,False,False
hsa-miR-19a,hsa-miR-93,miRNA,miRNA,miRNA-miRNA,coexpression,0.7564963567775298,0.7564963567775298,4.420428738673777e-09,2.2668655762172555e-07,False,False
hsa-miR-19a,hsa-miR-32,miRNA,miRNA,miRNA-miRNA,coexpression,0.7371472602464474,0.7371472602464474,1.729729832255668e-08,6.524270322551835e-07,False,False
hsa-miR-19a,hsa-miR-362-3p,miRNA,miRNA,miRNA-miRNA,coexpression,0.7117342012175324,0.7117342012175324,8.75847477560644e-08,2.3701142889394456e-06,False,False
hsa-miR-19a,ESR1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.3328158536490921,-0.3328158536490921,0.0292057253686437,0.379373339840114,False,False
hsa-miR-19b,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9538114983590459,0.9538114983590459,4.994364409702643e-23,2.0002429460859085e-19,False,False
hsa-miR-19b,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,coexpression,0.9479421108920807,0.9479421108920807,5.486166468715189e-22,7.324032235734777e-19,False,False
hsa-miR-19b,hsa-miR-362-3p,miRNA,miRNA,miRNA-miRNA,coexpression,0.8184872320013556,0.8184872320013556,2.02627291937188e-11,2.459158497601327e-09,False,False
hsa-miR-19b,hsa-miR-455-5p,miRNA,miRNA,miRNA-miRNA,coexpression,0.7480422469049004,0.7480422469049004,8.14472533945343e-09,3.69418245829919e-07,False,False
hsa-miR-19b,hsa-miR-106b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7447869399961706,0.7447869399961706,1.024048358043744e-08,4.4100147031883816e-07,False,False
hsa-miR-20a+hsa-miR-20b,hsa-miR-106a+hsa-miR-17,miRNA,miRNA,miRNA-miRNA,coexpression,0.937307412734766,0.937307412734766,2.2394143362521203e-20,1.4948090694482902e-17,False,False
hsa-miR-20a+hsa-miR-20b,hsa-miR-106b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7580713279346473,0.7580713279346473,3.9340231516638744e-09,2.073126674001818e-07,False,False
hsa-miR-20a+hsa-miR-20b,hsa-miR-93,miRNA,miRNA,miRNA-miRNA,coexpression,0.7474035018210502,0.7474035018210502,8.521321023805552e-09,3.7784367483078647e-07,False,False
hsa-miR-20a+hsa-miR-20b,hsa-miR-362-3p,miRNA,miRNA,miRNA-miRNA,coexpression,0.7405791532984979,0.7405791532984979,1.3698840954941432e-08,5.486385802454044e-07,False,False
