source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
hsa-let-7c,hsa-miR-199a-5p,miRNA,miRNA,miRNA-miRNA,coexpression,0.933106310476975,0.933106310476975,7.285323784064916e-15,6.483938167817776e-13,False,False
hsa-let-7c,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.30917995530630066,-0.30917995530630066,0.08509197086308805,0.9988699114074102,False,False
hsa-let-7c,FLT3,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.29659045472876333,-0.29659045472876333,0.09928191867071465,0.9988699114074102,False,False
hsa-let-7c,ESR1,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.2878426373862403,-0.2878426373862403,0.11014973509423949,0.9988699114074102,False,False
hsa-let-7f,hsa-miR-27a,miRNA,miRNA,miRNA-miRNA,coexpression,0.940906105925153,0.940906105925153,1.1958582509992099e-15,1.3811230739203189e-13,False,False
hsa-let-7f,hsa-miR-26b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9332119419280396,0.9332119419280396,7.119739458223257e-15,6.480581029587305e-13,False,False
hsa-let-7f,hsa-miR-98,miRNA,miRNA,miRNA-miRNA,coexpression,0.9243219203856905,0.9243219203856905,4.36887734227812e-14,2.396897774770393e-12,False,False
hsa-let-7f,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,coexpression,0.9148679870420026,0.9148679870420026,2.3948139683017296e-13,9.887865920668482e-12,False,False
hsa-let-7f,hsa-miR-497,miRNA,miRNA,miRNA-miRNA,coexpression,0.9073250592303764,0.9073250592303764,8.127063948714212e-13,2.5556158953770197e-11,False,False
hsa-let-7f,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,coexpression,0.9067374556449774,0.9067374556449774,8.899409210618767e-13,2.6798596908667788e-11,False,False
hsa-let-7f,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,coexpression,0.9043576403145555,0.9043576403145555,1.2776966355764474e-12,3.529086224471498e-11,False,False
hsa-let-7f,PTHLH,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.33729840555993523,-0.33729840555993523,0.059041754554224515,0.9988699114074102,False,False
hsa-let-7g,hsa-let-7i,miRNA,miRNA,miRNA-miRNA,coexpression,0.9685333826216652,0.9685333826216652,1.1288782658360372e-19,1.1302893636683324e-16,False,False
