source,target,source_type,target_type,edge_type,regulatory_type,weight,pearson_r,pearson_p,pearson_p_fdr,fdr_significant,miRDB_validated
hsa-let-7c,hsa-miR-99a,miRNA,miRNA,miRNA-miRNA,coexpression,0.9439216078179402,0.9439216078179402,3.038919671897415e-55,2.4341746571898293e-52,False,False
hsa-let-7f,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,coexpression,0.8052320202757144,0.8052320202757144,5.972097431491251e-27,3.517389737223891e-25,False,False
hsa-let-7f,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,coexpression,0.7903823864499503,0.7903823864499503,2.26942945277673e-25,9.089064958370803e-24,False,False
hsa-let-7f,hsa-miR-26b,miRNA,miRNA,miRNA-miRNA,coexpression,0.7791307242344584,0.7791307242344584,2.95312594913118e-24,9.461815541016301e-23,False,False
hsa-let-7f,hsa-miR-200a,miRNA,miRNA,miRNA-miRNA,coexpression,0.7762364609136139,0.7762364609136139,5.577084211113913e-24,1.692138050417517e-22,False,False
hsa-let-7f,hsa-miR-27a,miRNA,miRNA,miRNA-miRNA,coexpression,0.7707408171383072,0.7707408171383072,1.8177741160851665e-23,4.853456889947395e-22,False,False
hsa-let-7f,CEBPA,miRNA,mRNA,miRNA-mRNA,anticorrelation,-0.12988759502508224,-0.12988759502508224,0.17031620338571016,0.9726385967034399,False,False
hsa-let-7g,hsa-miR-16 (+++ See note below),miRNA,miRNA,miRNA-miRNA,coexpression,0.8933618988927048,0.8933618988927048,2.3009703213449918e-40,5.420815374698054e-38,False,False
hsa-let-7g,hsa-let-7i,miRNA,miRNA,miRNA-miRNA,coexpression,0.8591382564803318,0.8591382564803318,4.443217714103452e-34,6.590772942586787e-32,False,False
hsa-let-7g,hsa-miR-15a,miRNA,miRNA,miRNA-miRNA,coexpression,0.8228412531597047,0.8228412531597047,5.2102101218922e-29,4.0128637573419734e-27,False,False
hsa-let-7g,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,coexpression,0.818854525146215,0.818854525146215,1.5941809155283429e-28,1.182350845683521e-26,False,False
hsa-let-7g,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,coexpression,0.8107318447499343,0.8107318447499343,1.4326831485853197e-27,9.406386901777386e-26,False,False
hsa-let-7g,hsa-miR-15b,miRNA,miRNA,miRNA-miRNA,coexpression,0.8081467617516582,0.8081467617516582,2.8186934540438225e-27,1.7638855130383608e-25,False,False
