model,bootstrap_type,metric,point_estimate,ci_lower_95,ci_upper_95,n_resamples,n_samples,n_patients
XGBoost,sample,accuracy,0.9361702127659575,0.851063829787234,1.0,10000,47,28
XGBoost,sample,macro_f1,0.9249164578111945,0.8188846651868295,1.0,10000,47,28
XGBoost,sample,macro_auroc,0.9768267794583584,0.9319462872868445,1.0,10000,47,28
XGBoost,patient_cluster,accuracy,0.9361702127659575,0.8653846153846154,1.0,10000,47,28
XGBoost,patient_cluster,macro_f1,0.9249164578111945,0.8282587543759341,1.0,10000,47,28
XGBoost,patient_cluster,macro_auroc,0.9768267794583584,0.9320490620490621,1.0,10000,47,28
Multi-network GAT,sample,accuracy,0.9361702127659575,0.851063829787234,1.0,10000,47,28
Multi-network GAT,sample,macro_f1,0.9229946524064171,0.8181818181818182,1.0,10000,47,28
Multi-network GAT,sample,macro_auroc,0.9896455883297989,0.9666369871271833,1.0,10000,47,28
Multi-network GAT,patient_cluster,accuracy,0.9361702127659575,0.8571428571428571,1.0,10000,47,28
Multi-network GAT,patient_cluster,macro_f1,0.9229946524064171,0.8181818181818182,1.0,10000,47,28
Multi-network GAT,patient_cluster,macro_auroc,0.9896455883297989,0.9676970015127909,1.0,10000,47,28
TabNet,sample,accuracy,0.723404255319149,0.5957446808510638,0.851063829787234,10000,47,28
TabNet,sample,macro_f1,0.6668445962777126,0.5009729097308464,0.805393550300873,10000,47,28
TabNet,sample,macro_auroc,0.8526008591798065,0.7310849460996519,0.9439132033830177,10000,47,28
TabNet,patient_cluster,accuracy,0.723404255319149,0.6274509803921569,0.8205128205128205,10000,47,28
TabNet,patient_cluster,macro_f1,0.6668445962777126,0.5207599807599808,0.7807017543859649,10000,47,28
TabNet,patient_cluster,macro_auroc,0.8526008591798065,0.7346619189633894,0.9377206970456611,10000,47,28
