network,node_u,node_v,mean_attention
metastatic,WEE1,hsa-miR-1305,0.20208984983966072
metastatic,MMP1,MMP3,0.1924618438203284
metastatic,FOS,WEE1,0.1895229521187696
metastatic,MMP14,hsa-miR-663b,0.1823926774903815
metastatic,hsa-miR-1975,hsa-miR-663b,0.1628212218588971
metastatic,hsa-miR-187,hsa-miR-579 (+++ See note below),0.15644780697023614
metastatic,MMP3,PLAT,0.15311311391439844
metastatic,CCNE1,WFDC2,0.1491722527970659
metastatic,BCL2A1,CSF3,0.14524592455238738
metastatic,hsa-miR-187,hsa-miR-21,0.14269298196155975
metastatic,CSK,FLT3,0.14196630630721438
metastatic,ATM,CSK,0.1383425013182011
metastatic,CCNE1,MPL,0.13799202133049357
metastatic,hsa-miR-1978,hsa-miR-494 (+++ See note below),0.13754652107649662
metastatic,BCL2A1,WFDC2,0.13284101820689567
metastatic,ATM,FLT3,0.13098466317070293
metastatic,hsa-miR-154,hsa-miR-579 (+++ See note below),0.1306550893139966
metastatic,hsa-miR-484,hsa-miR-494 (+++ See note below),0.12919281151621265
metastatic,hsa-miR-2117,hsa-miR-494 (+++ See note below),0.12247443960068073
metastatic,BCL2A1,MMP9,0.12153450914836944
metastatic,hsa-miR-1308,hsa-miR-494 (+++ See note below),0.12148544049643456
metastatic,hsa-miR-127-3p,hsa-miR-579 (+++ See note below),0.11428610219600353
metastatic,CSF3,IL8,0.11282847516555736
metastatic,IL1A,TGFA,0.11160911540401743
metastatic,BCL2A1,CSK,0.11118017541284257
metastatic,hsa-miR-142-3p,hsa-miR-155,0.10982115463690555
metastatic,IGF1,WFDC2,0.10870990933890039
metastatic,CSF3,MMP9,0.10647858346396304
metastatic,TNF,WFDC2,0.10578184479728658
metastatic,IL8,TGFA,0.10536306097786477
normal,FOLR1,WFDC2,0.38227400294643765
normal,hsa-miR-542-3p,hsa-miR-579 (+++ See note below),0.3574351814199001
normal,CSF3,WEE1,0.30798118101789596
normal,CSF3,hsa-miR-542-3p,0.28107826903145366
normal,ATM,hsa-miR-421,0.27019883228584807
normal,FLT3,hsa-miR-542-3p,0.23892027504266578
normal,CASP10,IL1A,0.2360882118661353
normal,WEE1,hsa-miR-1305,0.22832690995741398
normal,EPS8,MPL,0.22123787108253926
normal,PTHLH,hsa-miR-429,0.2098412022906098
normal,IL8,WFDC2,0.20679086684546572
normal,EPS8,WFDC2,0.2060710312996773
normal,hsa-miR-210,hsa-miR-934,0.2022186447965338
normal,hsa-miR-1305,hsa-miR-32,0.2005302625450682
normal,IL8,MPL,0.19676550113140268
normal,hsa-miR-187,hsa-miR-18b,0.18737312469710696
normal,CSK,FLT3,0.18530050038974336
normal,CASP10,hsa-miR-362-3p,0.18519277014630905
normal,EPS8,IL8,0.18299963911797137
normal,FLT3,JUN,0.18292895759990874
normal,hsa-miR-32,hsa-miR-362-3p,0.1771124132928696
normal,CSK,MYCL1,0.16740659759082693
normal,hsa-miR-16 (+++ See note below),hsa-miR-451,0.16552708003709607
normal,LIF,hsa-miR-934,0.1616838737688166
normal,IGF1,PLA2G2A,0.15070662274956703
normal,BCL2A1,TGFA,0.14594011357490053
normal,hsa-miR-200c,hsa-miR-205,0.13774047716659435
normal,CCNE1,TGFA,0.1362943078609223
normal,hsa-miR-200b,hsa-miR-205,0.12914354857453642
normal,hsa-miR-187,hsa-miR-425,0.12733927052071753
primary,MPL,hsa-miR-455-5p,0.2808910798321062
primary,TGFA,WEE1,0.19323632224126064
primary,ATM,CSF3,0.14864540718337324
primary,CSF3,FLT3,0.1438129500664295
primary,MMP14,hsa-miR-663b,0.13931393020964683
primary,TNF,WEE1,0.1370318723604717
primary,CASP10,WEE1,0.13504289375974776
primary,hsa-miR-421,hsa-miR-663b,0.13468351908662218
primary,hsa-miR-494 (+++ See note below),hsa-miR-579 (+++ See note below),0.12924282062560954
primary,IL1A,hsa-miR-532-5p,0.12869066998679587
primary,CASP10,CSF3,0.11908863825683898
primary,hsa-miR-1290,hsa-miR-494 (+++ See note below),0.1166540633966314
primary,IL1A,IL8,0.10928832676182403
primary,hsa-miR-494 (+++ See note below),hsa-miR-542-3p,0.10859096922138904
primary,hsa-miR-155,hsa-miR-194,0.1068720394210454
primary,FOLR1,TGFA,0.10680764184353199
primary,hsa-miR-1305,hsa-miR-520c-3p,0.10155393040560662
primary,hsa-miR-21,hsa-miR-520c-3p,0.10091384694455786
primary,EPS8,WFDC2,0.09924053939733099
primary,ETV6,hsa-miR-663b,0.09774441157091171
primary,IL1A,TNF,0.0958804106537966
primary,hsa-miR-579 (+++ See note below),hsa-miR-934,0.09565112811136753
primary,hsa-miR-155,hsa-miR-520c-3p,0.0945406344501262
primary,CSF3,CSF3R,0.09266934682555655
primary,hsa-miR-154,hsa-miR-579 (+++ See note below),0.08749620699660575
primary,hsa-miR-1290,hsa-miR-1305,0.08749591364981012
primary,hsa-miR-127-3p,hsa-miR-199a-5p,0.08746920216907846
primary,hsa-miR-2117,hsa-miR-494 (+++ See note below),0.0863758857025111
primary,hsa-miR-1308,hsa-miR-494 (+++ See note below),0.08600687980651855
primary,hsa-miR-1305,hsa-miR-155,0.08586198297586847
