sample_id,true_label,pred_label,network,branch_prob_normal,branch_prob_primary,branch_prob_metastatic
Mets_1,metastatic,metastatic,normal,0.28894513845443726,0.3554425835609436,0.35561221837997437
Mets_1,metastatic,metastatic,primary,0.29233303666114807,0.34909534454345703,0.3585716187953949
Mets_1,metastatic,metastatic,metastatic,0.2876676023006439,0.35246238112449646,0.359870046377182
Mets_13,metastatic,metastatic,normal,0.27342337369918823,0.35700392723083496,0.3695726692676544
Mets_13,metastatic,metastatic,primary,0.27442190051078796,0.3513776659965515,0.3742004632949829
Mets_13,metastatic,metastatic,metastatic,0.2753479778766632,0.35621315240859985,0.3684388995170593
Mets_19,metastatic,metastatic,normal,0.2925871014595032,0.35385462641716003,0.3535583019256592
Mets_19,metastatic,metastatic,primary,0.30278968811035156,0.3480527400970459,0.34915754199028015
Mets_19,metastatic,metastatic,metastatic,0.29480844736099243,0.35587558150291443,0.34931597113609314
Mets_25,metastatic,metastatic,normal,0.2622178792953491,0.3588871657848358,0.3788949251174927
Mets_25,metastatic,metastatic,primary,0.26214298605918884,0.35510018467903137,0.3827567994594574
Mets_25,metastatic,metastatic,metastatic,0.2577727735042572,0.3626672625541687,0.3795599639415741
Mets_26,metastatic,metastatic,normal,0.2607991397380829,0.3517196774482727,0.3874811828136444
Mets_26,metastatic,metastatic,primary,0.26993176341056824,0.3596377968788147,0.37043049931526184
Mets_26,metastatic,metastatic,metastatic,0.26271554827690125,0.3648292124271393,0.37245529890060425
Mets_34,metastatic,metastatic,normal,0.31407609581947327,0.34784063696861267,0.33808332681655884
Mets_34,metastatic,metastatic,primary,0.31483402848243713,0.34485989809036255,0.3403061330318451
Mets_34,metastatic,metastatic,metastatic,0.3034440577030182,0.3507078289985657,0.34584811329841614
Mets_37,metastatic,metastatic,normal,0.3011089861392975,0.3537262976169586,0.3451647460460663
Mets_37,metastatic,metastatic,primary,0.3019005060195923,0.35301563143730164,0.34508389234542847
Mets_37,metastatic,metastatic,metastatic,0.2899630069732666,0.3537531793117523,0.3562837243080139
Mets_40,metastatic,metastatic,normal,0.2892543077468872,0.34681060910224915,0.36393508315086365
Mets_40,metastatic,metastatic,primary,0.29030388593673706,0.3540469706058502,0.3556491434574127
Mets_40,metastatic,metastatic,metastatic,0.279123455286026,0.35380253195762634,0.36707401275634766
Mets_47,metastatic,primary,normal,0.2765444815158844,0.3570631146430969,0.3663923442363739
Mets_47,metastatic,primary,primary,0.2782863974571228,0.35401836037635803,0.36769527196884155
Mets_47,metastatic,primary,metastatic,0.2652879059314728,0.3635226786136627,0.3711894452571869
Mets_5,metastatic,metastatic,normal,0.3115417957305908,0.34660691022872925,0.34185129404067993
Mets_5,metastatic,metastatic,primary,0.3118598163127899,0.3479975163936615,0.3401426672935486
Mets_5,metastatic,metastatic,metastatic,0.3034158945083618,0.35405269265174866,0.3425314426422119
Mets_52,metastatic,metastatic,normal,0.2598082721233368,0.3568978011608124,0.38329389691352844
Mets_52,metastatic,metastatic,primary,0.26644864678382874,0.35337522625923157,0.3801760673522949
Mets_52,metastatic,metastatic,metastatic,0.2578619718551636,0.36446452140808105,0.37767353653907776
Normal_1,normal,primary,normal,0.3302932381629944,0.34745800495147705,0.32224878668785095
Normal_1,normal,primary,primary,0.32302427291870117,0.3476755917072296,0.329300194978714
Normal_1,normal,primary,metastatic,0.3091261386871338,0.3545016348361969,0.3363722562789917
Normal_13,normal,normal,normal,0.3080151379108429,0.357022762298584,0.3349621593952179
Normal_13,normal,normal,primary,0.3031717538833618,0.34381529688835144,0.35301294922828674
Normal_13,normal,normal,metastatic,0.300049364566803,0.35540053248405457,0.34455013275146484
Normal_19,normal,normal,normal,0.3601587116718292,0.3384726047515869,0.3013686239719391
Normal_19,normal,normal,primary,0.3616746962070465,0.3297092914581299,0.3086159825325012
Normal_19,normal,normal,metastatic,0.3496924638748169,0.33963897824287415,0.3106685280799866
Normal_25,normal,normal,normal,0.32760414481163025,0.3453062176704407,0.3270896375179291
Normal_25,normal,normal,primary,0.32225894927978516,0.33913904428482056,0.33860206604003906
Normal_25,normal,normal,metastatic,0.3230002820491791,0.34943535923957825,0.32756438851356506
Normal_26,normal,normal,normal,0.31256213784217834,0.3554472327232361,0.3319905698299408
Normal_26,normal,normal,primary,0.3132783770561218,0.34271466732025146,0.3440069556236267
Normal_26,normal,normal,metastatic,0.3074599802494049,0.35067203640937805,0.34186795353889465
Normal_34,normal,normal,normal,0.42849257588386536,0.31552374362945557,0.2559836506843567
Normal_34,normal,normal,primary,0.4124290943145752,0.31615540385246277,0.2714155614376068
Normal_34,normal,normal,metastatic,0.40783873200416565,0.3215278685092926,0.27063342928886414
Normal_37,normal,normal,normal,0.38409173488616943,0.3279988169670105,0.28790944814682007
Normal_37,normal,normal,primary,0.38487812876701355,0.3246627449989319,0.29045918583869934
Normal_37,normal,normal,metastatic,0.38425877690315247,0.32817623019218445,0.2875650227069855
Normal_40,normal,normal,normal,0.39149168133735657,0.329167902469635,0.27934038639068604
Normal_40,normal,normal,primary,0.3915085196495056,0.3234352767467499,0.2850561738014221
Normal_40,normal,normal,metastatic,0.38015925884246826,0.33178117871284485,0.2880595624446869
Tumor_1,primary,primary,normal,0.31499242782592773,0.356641948223114,0.32836565375328064
Tumor_1,primary,primary,primary,0.32280653715133667,0.342956006526947,0.33423739671707153
Tumor_1,primary,primary,metastatic,0.31572744250297546,0.3509766459465027,0.33329588174819946
Tumor_107,primary,primary,normal,0.29469674825668335,0.35831865668296814,0.3469845950603485
Tumor_107,primary,primary,primary,0.29116198420524597,0.35342592000961304,0.3554121255874634
Tumor_107,primary,primary,metastatic,0.28045201301574707,0.359356552362442,0.3601914346218109
Tumor_117,primary,primary,normal,0.26136302947998047,0.3615427315235138,0.3770942986011505
Tumor_117,primary,primary,primary,0.2670230567455292,0.3514728844165802,0.381504088640213
Tumor_117,primary,primary,metastatic,0.2649446427822113,0.3623557686805725,0.3726996183395386
Tumor_118,primary,primary,normal,0.29265204071998596,0.35555487871170044,0.3517930805683136
Tumor_118,primary,primary,primary,0.2844609320163727,0.35202157497406006,0.36351752281188965
Tumor_118,primary,primary,metastatic,0.27965372800827026,0.35618165135383606,0.3641645908355713
Tumor_120,primary,primary,normal,0.27628016471862793,0.3547256290912628,0.36899420619010925
Tumor_120,primary,primary,primary,0.28400918841362,0.3534047603607178,0.362586110830307
Tumor_120,primary,primary,metastatic,0.29214975237846375,0.358364462852478,0.3494858145713806
Tumor_122,primary,primary,normal,0.3309413194656372,0.34795013070106506,0.32110854983329773
Tumor_122,primary,primary,primary,0.32578498125076294,0.3439352810382843,0.33027970790863037
Tumor_122,primary,primary,metastatic,0.31608620285987854,0.35152149200439453,0.3323923647403717
Tumor_123,primary,primary,normal,0.3202381432056427,0.3445800840854645,0.33518174290657043
Tumor_123,primary,primary,primary,0.3204534947872162,0.3439832627773285,0.33556321263313293
Tumor_123,primary,primary,metastatic,0.3127945065498352,0.35354092717170715,0.3336644768714905
Tumor_129,primary,normal,normal,0.36792466044425964,0.337788850069046,0.29428642988204956
Tumor_129,primary,normal,primary,0.368741512298584,0.33070775866508484,0.30055081844329834
Tumor_129,primary,normal,metastatic,0.35787320137023926,0.3408394753932953,0.30128729343414307
Tumor_13,primary,primary,normal,0.35457926988601685,0.33889514207839966,0.3065255880355835
Tumor_13,primary,primary,primary,0.35026127099990845,0.33467787504196167,0.31506088376045227
Tumor_13,primary,primary,metastatic,0.3396102786064148,0.3443313241004944,0.31605833768844604
Tumor_134,primary,primary,normal,0.42453598976135254,0.32262489199638367,0.2528390884399414
Tumor_134,primary,primary,primary,0.4238547682762146,0.3114219903945923,0.2647233009338379
Tumor_134,primary,primary,metastatic,0.41227462887763977,0.3217623829841614,0.26596298813819885
Tumor_141,primary,primary,normal,0.3205028772354126,0.3517932891845703,0.3277037739753723
Tumor_141,primary,primary,primary,0.3237799108028412,0.3400963246822357,0.3361237049102783
Tumor_141,primary,primary,metastatic,0.3270910382270813,0.3480302393436432,0.3248787522315979
Tumor_148,primary,normal,normal,0.3265115022659302,0.34758511185646057,0.32590335607528687
Tumor_148,primary,normal,primary,0.32179543375968933,0.34417811036109924,0.3340264856815338
Tumor_148,primary,normal,metastatic,0.31872448325157166,0.3511783182621002,0.3300972282886505
Tumor_149,primary,primary,normal,0.323380708694458,0.34327414631843567,0.3333452045917511
Tumor_149,primary,primary,primary,0.31322887539863586,0.34364527463912964,0.3431258201599121
Tumor_149,primary,primary,metastatic,0.3141091763973236,0.35161924362182617,0.33427152037620544
Tumor_152,primary,primary,normal,0.2761130630970001,0.359186589717865,0.36470040678977966
Tumor_152,primary,primary,primary,0.2789284884929657,0.35500767827033997,0.3660638630390167
Tumor_152,primary,primary,metastatic,0.27371376752853394,0.36139774322509766,0.3648885190486908
Tumor_169,primary,primary,normal,0.3072068691253662,0.3488895297050476,0.3439035415649414
Tumor_169,primary,primary,primary,0.3158080279827118,0.3476186692714691,0.3365733027458191
Tumor_169,primary,primary,metastatic,0.3122127652168274,0.3528452515602112,0.3349419832229614
Tumor_19,primary,primary,normal,0.30265191197395325,0.35463374853134155,0.34271439909935
Tumor_19,primary,primary,primary,0.30295857787132263,0.35328713059425354,0.34375426173210144
Tumor_19,primary,primary,metastatic,0.29729756712913513,0.3547676205635071,0.34793487191200256
Tumor_25,primary,primary,normal,0.3344392776489258,0.3501655161380768,0.31539520621299744
Tumor_25,primary,primary,primary,0.33336755633354187,0.3433462381362915,0.3232862055301666
Tumor_25,primary,primary,metastatic,0.32089880108833313,0.3508469760417938,0.32825422286987305
Tumor_26,primary,primary,normal,0.3228202760219574,0.34859853982925415,0.3285812437534332
Tumor_26,primary,primary,primary,0.3244960904121399,0.3491312861442566,0.3263726532459259
Tumor_26,primary,primary,metastatic,0.3193128705024719,0.3509092628955841,0.32977789640426636
Tumor_34,primary,primary,normal,0.3222291171550751,0.35224634408950806,0.3255244791507721
Tumor_34,primary,primary,primary,0.3271407186985016,0.34572699666023254,0.3271322548389435
Tumor_34,primary,primary,metastatic,0.31920430064201355,0.3504966199398041,0.33029910922050476
Tumor_37,primary,primary,normal,0.29532358050346375,0.3601749837398529,0.3445013761520386
Tumor_37,primary,primary,primary,0.29244592785835266,0.3496949076652527,0.35785922408103943
Tumor_37,primary,primary,metastatic,0.2833620011806488,0.36384037137031555,0.35279765725135803
Tumor_40,primary,primary,normal,0.2913750112056732,0.3540874123573303,0.35453757643699646
Tumor_40,primary,primary,primary,0.2941395342350006,0.35088059306144714,0.35497984290122986
Tumor_40,primary,primary,metastatic,0.2926890254020691,0.35645702481269836,0.35085394978523254
Tumor_47,primary,primary,normal,0.28106266260147095,0.3609384000301361,0.35799893736839294
Tumor_47,primary,primary,primary,0.27228373289108276,0.35516491532325745,0.3725513815879822
Tumor_47,primary,primary,metastatic,0.2757108807563782,0.3635052442550659,0.3607839047908783
Tumor_5,primary,primary,normal,0.27582526206970215,0.35583779215812683,0.3683369755744934
Tumor_5,primary,primary,primary,0.274412602186203,0.3550838530063629,0.3705035448074341
Tumor_5,primary,primary,metastatic,0.2617824673652649,0.36336642503738403,0.3748511075973511
Tumor_52,primary,primary,normal,0.2924771010875702,0.35619327425956726,0.35132965445518494
Tumor_52,primary,primary,primary,0.2891537547111511,0.35742583870887756,0.3534203767776489
Tumor_52,primary,primary,metastatic,0.277152419090271,0.35900071263313293,0.36384689807891846
Tumor_58,primary,primary,normal,0.3570626378059387,0.3299960792064667,0.3129412829875946
Tumor_58,primary,primary,primary,0.34696483612060547,0.3340836763381958,0.3189515173435211
Tumor_58,primary,primary,metastatic,0.3434605002403259,0.33737173676490784,0.31916770339012146
Tumor_67,primary,primary,normal,0.2886027991771698,0.3560466468334198,0.355350524187088
Tumor_67,primary,primary,primary,0.2969030439853668,0.34974101185798645,0.35335591435432434
Tumor_67,primary,primary,metastatic,0.28967177867889404,0.35468119382858276,0.35564708709716797
Tumor_68,primary,primary,normal,0.2585940957069397,0.36841145157814026,0.37299445271492004
Tumor_68,primary,primary,primary,0.26524025201797485,0.3580235242843628,0.37673622369766235
Tumor_68,primary,primary,metastatic,0.2621893882751465,0.3651748299598694,0.3726358115673065
Tumor_69,primary,primary,normal,0.29696187376976013,0.35613933205604553,0.34689879417419434
Tumor_69,primary,primary,primary,0.2996031939983368,0.34978750348091125,0.35060927271842957
Tumor_69,primary,primary,metastatic,0.2952084243297577,0.35627666115760803,0.34851494431495667
