number,value,params_dropout,params_hidden_size,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,user_attrs_fold_scores,user_attrs_mean_best_epoch,user_attrs_std_val_macro_f1,state
32,0.9588289967267145,0.09359223625288136,64,0.0005915286378828813,4,1,0.0001595097458497661,"[0.9487107095802747, 0.9650039844942394, 0.9627722961056294]",23.666666666666668,0.007212484978578046,COMPLETE
0,0.9537523029022893,0.22701814444901136,16,0.0005611516415334506,4,1,1.1527987128232396e-05,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",21.333333333333332,0.014363163707216832,COMPLETE
15,0.9537523029022893,0.18425551036102725,32,0.00012260918754749807,2,1,0.0013168594083638177,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",75.33333333333333,0.014363163707216832,COMPLETE
17,0.9537523029022893,0.07516237274923897,64,0.0007993719634521158,4,1,0.0005262669003232633,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",23.0,0.014363163707216832,COMPLETE
33,0.9537523029022893,0.29068576860559686,16,0.0005616456540398369,4,1,1.6415646364383997e-05,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",25.666666666666668,0.014363163707216832,COMPLETE
46,0.9537523029022893,0.141263079083443,64,0.00014207294353302073,8,1,0.00014973784016088283,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",57.0,0.014363163707216832,COMPLETE
41,0.9537523029022893,0.05724431853878222,64,0.0013041419362099646,8,1,0.0004981606565073437,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",22.0,0.014363163707216832,COMPLETE
47,0.9537523029022893,0.09343590122105998,32,0.0008683835944805501,4,1,0.0007024968762802477,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",15.333333333333334,0.014363163707216832,COMPLETE
1,0.9537523029022893,0.14159046082342291,64,0.0002310201887845295,2,1,0.00023345864076016249,"[0.9334806281069992, 0.9650039844942394, 0.9627722961056294]",37.333333333333336,0.014363163707216832,COMPLETE
26,0.9537097166936356,0.2373863207558425,128,0.0009189941362445058,4,3,2.1082969567914476e-05,"[0.931981981981982, 0.9495863940176031, 0.9795607740813219]",42.333333333333336,0.019641566584263175,COMPLETE
8,0.9533386689541669,0.2740228249808733,64,0.007234279845665418,2,3,8.995191735587162e-05,"[0.9308688387635756, 0.9495863940176031, 0.9795607740813219]",39.666666666666664,0.020054688839048266,COMPLETE
16,0.9532527541939503,0.2705620262916999,128,0.00035397284510561627,1,1,1.0490613992990032e-05,"[0.931981981981982, 0.9650039844942394, 0.9627722961056294]",43.333333333333336,0.015068276192850668,COMPLETE
