source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7c,hsa-miR-99a,miRNA,miRNA,miRNA-miRNA,,0.9055791295793556,,,0.9055791295793556,7.298461484730193e-17,2.2484875574111095e-14,,
hsa-let-7c,hsa-miR-216a,miRNA,miRNA,miRNA-miRNA,,0.7973518852965882,,,0.7973518852965882,1.562564247259135e-10,1.5263584903104477e-08,,
hsa-let-7c,hsa-miR-125b,miRNA,miRNA,miRNA-miRNA,,0.7774566018525252,,,0.7774566018525252,8.683983795981931e-10,5.796559183817939e-08,,
hsa-let-7c,hsa-miR-145,miRNA,miRNA,miRNA-miRNA,,0.6693013166556828,,,0.6693013166556828,9.245104951432774e-07,1.582335270533686e-05,,
hsa-let-7c,hsa-miR-199a-5p,miRNA,miRNA,miRNA-miRNA,,0.6125268012354428,,,0.6125268012354428,1.268022125880144e-05,0.00011701448419700407,,
hsa-let-7c,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,,0.6058088194688559,,,0.6058088194688559,1.672146013261145e-05,0.00014622150181464817,,
hsa-let-7c,hsa-let-7i,miRNA,miRNA,miRNA-miRNA,,0.5759337227641137,,,0.5759337227641137,5.320894677978363e-05,0.0003680515230622339,,
hsa-let-7c,hsa-miR-10b,miRNA,miRNA,miRNA-miRNA,,0.5462067168469831,,,0.5462067168469831,0.00015131100197352288,0.0008428380568900683,,
hsa-let-7c,hsa-miR-497,miRNA,miRNA,miRNA-miRNA,,0.5349200908733459,,,0.5349200908733459,0.00021942079161403483,0.001112340596638952,,
hsa-let-7c,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,,0.533437232362026,,,0.533437232362026,0.0002301773271128933,0.001155213277051551,,
hsa-let-7c,hsa-miR-148a,miRNA,miRNA,miRNA-miRNA,,0.522092970372597,,,0.522092970372597,0.0003295613131209819,0.0015671030357028515,,
hsa-let-7c,hsa-miR-451,miRNA,miRNA,miRNA-miRNA,,0.5172005203589602,,,0.5172005203589602,0.00038325459959227023,0.0017632025097290812,,
hsa-let-7c,hsa-miR-484,miRNA,miRNA,miRNA-miRNA,,0.501520647590863,,,0.501520647590863,0.0006124226617061148,0.0025576149740698536,,
hsa-let-7c,hsa-miR-107,miRNA,miRNA,miRNA-miRNA,,0.49115062717965413,,,0.49115062717965413,0.0008249425570309184,0.003245640145271767,,
hsa-let-7c,hsa-miR-154,miRNA,miRNA,miRNA-miRNA,,0.49062966906489563,,,0.49062966906489563,0.0008371747404326414,0.0032839224636951312,,
hsa-let-7c,hsa-miR-27a,miRNA,miRNA,miRNA-miRNA,,0.4876422257988989,,,0.4876422257988989,0.0009104986861618578,0.0035198332413882635,,
hsa-let-7c,hsa-miR-509-3p,miRNA,miRNA,miRNA-miRNA,,0.48142279969496204,,,0.48142279969496204,0.0010817870719267838,0.004075782900345032,,
hsa-let-7c,hsa-miR-542-3p,miRNA,miRNA,miRNA-miRNA,,0.47548457269281785,,,0.47548457269281785,0.0012715121978891697,0.004667884098841397,,
hsa-let-7c,hsa-miR-532-5p,miRNA,miRNA,miRNA-miRNA,,0.46960390023914844,,,0.46960390023914844,0.0014879706279058895,0.005325578520789176,,
hsa-let-7c,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,,0.46162364547628953,,,0.46162364547628953,0.0018337423267885662,0.006315382380927106,,
hsa-let-7c,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,,0.46012502217923384,,,0.46012502217923384,0.0019060693457576005,0.0065023915926398545,,
hsa-let-7c,hsa-miR-1979,miRNA,miRNA,miRNA-miRNA,,0.4444878316636397,,,0.4444878316636397,0.0028250522989562194,0.008993906563847106,,
hsa-let-7c,hsa-let-7g,miRNA,miRNA,miRNA-miRNA,,0.4420171230042613,,,0.4420171230042613,0.0030012744869733583,0.009464649071124646,,
hsa-let-7c,hsa-miR-24,miRNA,miRNA,miRNA-miRNA,,0.4271008395718025,,,0.4271008395718025,0.004284721745865673,0.012758595235830499,,
hsa-let-7c,hsa-miR-183,miRNA,miRNA,miRNA-miRNA,,0.4261856580231817,,,0.4261856580231817,0.004377113404459228,0.013004702659391102,,
hsa-let-7c,hsa-miR-127-3p,miRNA,miRNA,miRNA-miRNA,,0.4105919431582984,,,0.4105919431582984,0.006240933161045164,0.017345549833439194,,
