molecule,molecule_type,xgboost_score,xgboost_rank,gat_attention_score,gat_attention_rank,agreement_score,xgboost_percentile_score,gat_percentile_score,consensus_min_score,consensus_harmonic_score,rank_sum,max_rank,strict_consensus_flag,moderate_consensus_flag,biomarker_priority_group,appears_in_regulatory_pair,regulatory_pair_partners,notes
hsa-miR-490-3p,miRNA,0.028893571,17,3.7782786481597634,4,0.3088235294117647,0.8904109589041096,0.9794520547945206,0.8904109589041096,0.9328114807566862,21,17,True,True,strict_consensus,False,,present in both models; strict consensus; top-10 GAT
hsa-miR-1979,miRNA,0.09854746,6,3.4329872455229946,19,0.21929824561403508,0.9657534246575342,0.8767123287671232,0.8767123287671232,0.9190813260681366,25,19,True,True,strict_consensus,False,,present in both models; strict consensus; top-10 XGBoost
hsa-let-7f,miRNA,0.01776128,23,3.843821413497975,2,0.5434782608695652,0.8493150684931506,0.9931506849315068,0.8493150684931506,0.9156184753271883,25,23,True,True,strict_consensus,False,,present in both models; strict consensus; top-10 GAT
hsa-let-7g,miRNA,0.031935234,15,3.4704506765416956,13,0.14358974358974358,0.9041095890410958,0.9178082191780822,0.9041095890410958,0.9109074055000514,28,15,True,True,strict_consensus,False,,present in both models; strict consensus
hsa-miR-130b,miRNA,0.021832751,19,3.542945344833299,9,0.16374269005847952,0.8767123287671232,0.9452054794520548,0.8767123287671232,0.9096714388711504,28,19,True,True,strict_consensus,False,,present in both models; strict consensus; top-10 GAT
hsa-miR-425,miRNA,0.038761716,13,3.437331999285502,17,0.13574660633484165,0.9178082191780822,0.8904109589041096,0.8904109589041096,0.9039020340390204,30,17,True,True,strict_consensus,False,,present in both models; strict consensus
hsa-miR-421,miRNA,0.04711307,11,3.3039615459720353,26,0.12937062937062938,0.9315068493150684,0.8287671232876712,0.8287671232876712,0.8771387452694418,37,26,False,True,moderate_consensus,False,,present in both models; moderate consensus
hsa-miR-106b,miRNA,0.4159516,2,3.208535748623074,41,0.524390243902439,0.9931506849315068,0.726027397260274,0.726027397260274,0.8388364350815914,43,41,False,True,moderate_consensus,False,,present in both models; moderate consensus; top-10 XGBoost
hsa-miR-200a,miRNA,0.01026173,35,3.4569725934713293,14,0.09999999999999999,0.7671232876712328,0.910958904109589,0.7671232876712328,0.8328767123287671,49,35,False,True,moderate_consensus,False,,present in both models; moderate consensus
hsa-miR-660,miRNA,0.019486805,22,3.279734125588722,31,0.07771260997067449,0.8561643835616438,0.7945205479452054,0.7945205479452054,0.824191439777184,53,31,False,True,moderate_consensus,False,,present in both models; moderate consensus
hsa-miR-509-3p,miRNA,0.0062260716,42,3.5107810130005985,11,0.11471861471861472,0.7191780821917808,0.9315068493150684,0.7191780821917808,0.811686466208151,53,42,False,True,moderate_consensus,True,IL1A,present in both models; regulatory pair member; moderate consensus
PLAUR,mRNA,0.00784346,38,3.43703177196786,18,0.08187134502923976,0.7465753424657534,0.8835616438356164,0.7465753424657534,0.8093127662023714,56,38,False,True,moderate_consensus,False,,present in both models; moderate consensus
hsa-miR-708,miRNA,0.09243771,7,3.1556380709454896,46,0.16459627329192544,0.958904109589041,0.6917808219178082,0.6917808219178082,0.8037287557551298,53,46,False,True,moderate_consensus,False,,present in both models; moderate consensus; top-10 XGBoost
hsa-miR-374b,miRNA,0.015868383,26,3.129414389752087,50,0.05846153846153847,0.8287671232876712,0.6643835616438356,0.6643835616438356,0.7375267060449918,76,50,False,True,moderate_consensus,False,,present in both models; moderate consensus
hsa-miR-15a,miRNA,0.011780742,33,3.1364619127038798,49,0.05071119356833642,0.7808219178082192,0.6712328767123288,0.6712328767123288,0.7218919617472215,82,49,False,True,moderate_consensus,False,,present in both models; moderate consensus
hsa-miR-15b,miRNA,0.0053481357,47,3.1882136189576946,44,0.044003868471953575,0.684931506849315,0.7054794520547946,0.684931506849315,0.6950536473446252,91,47,False,True,moderate_consensus,False,,present in both models; moderate consensus
hsa-miR-98,miRNA,0.004334397,51,3.8625976886461557,1,1.0196078431372548,0.6575342465753424,1.0,0.6575342465753424,0.7933884297520661,52,51,False,False,gat_dominant,False,,present in both models; GAT-dominant; top-10 GAT
MMP14,mRNA,0.003982968,52,3.640470567947015,5,0.21923076923076923,0.6506849315068494,0.9726027397260274,0.6506849315068494,0.7797237153921739,57,52,False,False,gat_dominant,False,,present in both models; GAT-dominant; top-10 GAT
hsa-miR-29b,miRNA,0.15521216,5,3.1216629906260285,52,0.21923076923076923,0.9726027397260274,0.6506849315068494,0.6506849315068494,0.7797237153921739,57,52,False,False,xgboost_dominant,False,,present in both models; XGBoost-dominant; top-10 XGBoost
hsa-miR-194,miRNA,0.04711995,10,3.128141068457131,51,0.11960784313725491,0.9383561643835616,0.6575342465753424,0.6575342465753424,0.7732376976894585,61,51,False,False,xgboost_dominant,False,,present in both models; XGBoost-dominant; top-10 XGBoost
hsa-miR-151-3p,miRNA,0.038253024,14,3.0060680628793826,64,0.08705357142857142,0.910958904109589,0.5684931506849316,0.5684931506849316,0.7000887874175545,78,64,False,False,weak_consensus,False,,present in both models
hsa-miR-24,miRNA,0.0038236727,53,3.2344951152286336,39,0.04450895016932753,0.6438356164383562,0.7397260273972602,0.6438356164383562,0.6884578868845789,92,53,False,False,weak_consensus,False,,present in both models
hsa-miR-16 (+++ See note below),miRNA,0.0022611073,69,3.577100468175285,8,0.13949275362318841,0.5342465753424658,0.952054794520548,0.5342465753424658,0.6844264882267534,77,69,False,False,gat_dominant,False,,present in both models; GAT-dominant; top-10 GAT
S100A4,mRNA,0.002911764,64,3.381689792360239,23,0.059103260869565216,0.5684931506849316,0.8493150684931506,0.5684931506849316,0.6810932433326715,87,64,False,False,weak_consensus,False,,present in both models
hsa-miR-362-3p,miRNA,0.0033888875,59,3.2526984507257612,34,0.04636091724825524,0.6027397260273972,0.773972602739726,0.6027397260273972,0.6777073536427451,93,59,False,False,weak_consensus,False,,present in both models
hsa-miR-21,miRNA,0.030194324,16,2.9968418341149845,68,0.07720588235294118,0.8972602739726028,0.541095890410959,0.541095890410959,0.6750815394651012,84,68,False,False,weak_consensus,False,,present in both models
hsa-miR-106a+hsa-miR-17,miRNA,0.0018981835,71,3.536138710694666,10,0.11408450704225352,0.5205479452054794,0.9383561643835616,0.5205479452054794,0.6696250562737154,81,71,False,False,gat_dominant,False,,present in both models; GAT-dominant; top-10 GAT
ETS1,mRNA,0.0022715963,68,3.4220992273878927,21,0.062324929971988796,0.541095890410959,0.863013698630137,0.541095890410959,0.6651520213832276,89,68,False,False,weak_consensus,False,,present in both models
MMP2,mRNA,0.0034607372,57,3.189438881550697,43,0.04079967360261118,0.6164383561643836,0.7123287671232876,0.6164383561643836,0.6609235983618134,100,57,False,False,weak_consensus,False,,present in both models
CSK,mRNA,0.0026492148,65,3.273516121736549,32,0.046634615384615385,0.5616438356164384,0.7876712328767124,0.5616438356164384,0.6557263055420347,97,65,False,False,weak_consensus,False,,present in both models
JUN,mRNA,0.003429969,58,3.1489625218760304,47,0.038517975055025674,0.6095890410958904,0.684931506849315,0.6095890410958904,0.6450677683554396,105,58,False,False,weak_consensus,False,,present in both models
FGFR1,mRNA,0.005748634,44,3.0220054062281516,61,0.039120715350223545,0.7054794520547946,0.589041095890411,0.589041095890411,0.6420236283249983,105,61,False,False,weak_consensus,False,,present in both models
hsa-miR-101,miRNA,0.0016539836,75,3.289042482836211,30,0.04666666666666667,0.4931506849315068,0.8013698630136986,0.4931506849315068,0.6105675146771037,105,75,False,False,weak_consensus,False,,present in both models
PTK7,mRNA,0.0032690736,60,3.0845121381249516,56,0.034523809523809526,0.5958904109589042,0.6232876712328768,0.5958904109589042,0.6092812067107897,116,60,False,False,weak_consensus,False,,present in both models
TIMP2,mRNA,0.0038142102,54,3.001951702900151,65,0.0339031339031339,0.636986301369863,0.5616438356164384,0.5616438356164384,0.5969471624266144,119,65,False,False,weak_consensus,False,,present in both models
CDKN1A,mRNA,0.0011264539,83,3.411908687211257,22,0.05750273822562979,0.4383561643835616,0.8561643835616438,0.4383561643835616,0.5798361962745524,105,83,False,False,weak_consensus,False,,present in both models
hsa-miR-340,miRNA,0.0015330435,77,3.1609035376459365,45,0.03520923520923521,0.4794520547945205,0.6986301369863014,0.4794520547945205,0.5686524370818732,122,77,False,False,weak_consensus,False,,present in both models
hsa-miR-1975,miRNA,0.028750163,18,2.789507592592309,86,0.06718346253229973,0.8835616438356164,0.4178082191780822,0.4178082191780822,0.5673395818312905,104,86,False,False,weak_consensus,False,,present in both models
hsa-miR-429,miRNA,0.00085549493,89,3.6399302038740613,6,0.17790262172284643,0.3972602739726027,0.9657534246575342,0.3972602739726027,0.5629517450265024,95,89,False,False,gat_dominant,True,NOTCH1; PTHLH,present in both models; regulatory pair member; GAT-dominant; top-10 GAT
