source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7c,hsa-miR-199a-5p,miRNA,miRNA,miRNA-miRNA,,0.933106310476975,,,0.933106310476975,7.285323784064933e-15,6.483938167817791e-13,,
hsa-let-7c,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,,0.9029933058684388,,,0.9029933058684388,1.5654433897286772e-12,4.097778284878008e-11,,
hsa-let-7c,hsa-miR-497,miRNA,miRNA,miRNA-miRNA,,0.9010313651208616,,,0.9010313651208616,2.085596018593363e-12,5.104067427074429e-11,,
hsa-let-7c,hsa-miR-99a,miRNA,miRNA,miRNA-miRNA,,0.8949560573901142,,,0.8949560573901142,4.888748049792517e-12,1.0393196109725802e-10,,
hsa-let-7c,hsa-let-7f,miRNA,miRNA,miRNA-miRNA,,0.8933189117494051,,,0.8933189117494051,6.096051482838394e-12,1.2520351891675778e-10,,
hsa-let-7c,hsa-miR-98,miRNA,miRNA,miRNA-miRNA,,0.8773723966449678,,,0.8773723966449678,4.412481877794487e-11,6.157487777201019e-10,,
hsa-let-7c,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,,0.8759574064806293,,,0.8759574064806293,5.189869092223735e-11,7.022103281877047e-10,,
hsa-let-7c,hsa-miR-509-3p,miRNA,miRNA,miRNA-miRNA,,0.8664680545168528,,,0.8664680545168528,1.4678885387595878e-10,1.689337240727629e-09,,
hsa-let-7c,hsa-miR-29b,miRNA,miRNA,miRNA-miRNA,,0.8530045129412027,,,0.8530045129412027,5.643750690399979e-10,5.11615517175376e-09,,
hsa-let-7c,hsa-miR-27a,miRNA,miRNA,miRNA-miRNA,,0.8529997723627313,,,0.8529997723627313,5.646293597790666e-10,5.11615517175376e-09,,
hsa-let-7c,hsa-miR-26b,miRNA,miRNA,miRNA-miRNA,,0.850808545327865,,,0.850808545327865,6.941771367650091e-10,6.057035801184883e-09,,
hsa-let-7c,hsa-let-7g,miRNA,miRNA,miRNA-miRNA,,0.8497180400753086,,,0.8497180400753086,7.683970984245199e-10,6.533822461125695e-09,,
hsa-let-7c,hsa-miR-10b,miRNA,miRNA,miRNA-miRNA,,0.8424743208069564,,,0.8424743208069564,1.479458971379996e-09,1.126470186383438e-08,,
hsa-let-7c,hsa-miR-216a,miRNA,miRNA,miRNA-miRNA,,0.8314336647778623,,,0.8314336647778623,3.7799717332027194e-09,2.4696226413502272e-08,,
hsa-let-7c,hsa-miR-151-3p,miRNA,miRNA,miRNA-miRNA,,0.8301123286385624,,,0.8301123286385624,4.210019134242624e-09,2.7021036270259152e-08,,
hsa-let-7c,hsa-miR-484,miRNA,miRNA,miRNA-miRNA,,0.8286571956103456,,,0.8286571956103456,4.735429525447338e-09,2.9819803851283946e-08,,
hsa-let-7c,hsa-miR-148a,miRNA,miRNA,miRNA-miRNA,,0.8167797337766242,,,0.8167797337766242,1.1891900031318725e-08,6.63329521245564e-08,,
hsa-let-7c,hsa-miR-93,miRNA,miRNA,miRNA-miRNA,,0.8157784362092981,,,0.8157784362092981,1.2812984483054408e-08,6.991281042865518e-08,,
hsa-let-7c,hsa-miR-186,miRNA,miRNA,miRNA-miRNA,,0.8052184219585715,,,0.8052184219585715,2.7410830423000924e-08,1.3147350400493257e-07,,
hsa-let-7c,hsa-miR-24,miRNA,miRNA,miRNA-miRNA,,0.8035752405603966,,,0.8035752405603966,3.0727176076397704e-08,1.4443936641546102e-07,,
hsa-let-7c,hsa-miR-20a+hsa-miR-20b,miRNA,miRNA,miRNA-miRNA,,0.7961727668854218,,,0.7961727668854218,5.074291906077646e-08,2.2234725474661893e-07,,
hsa-let-7c,hsa-miR-374a,miRNA,miRNA,miRNA-miRNA,,0.7937275473809912,,,0.7937275473809912,5.962111844292211e-08,2.532158847973521e-07,,
hsa-let-7c,hsa-let-7i,miRNA,miRNA,miRNA-miRNA,,0.7915034881386636,,,0.7915034881386636,6.89109044739441e-08,2.8688999211865504e-07,,
hsa-let-7c,hsa-miR-200a,miRNA,miRNA,miRNA-miRNA,,0.7850347960119467,,,0.7850347960119467,1.0399147229172941e-07,4.0672445950036746e-07,,
hsa-let-7c,hsa-miR-708,miRNA,miRNA,miRNA-miRNA,,0.7775934540188845,,,0.7775934540188845,1.6414312581007758e-07,6.020084421880592e-07,,
hsa-let-7c,hsa-miR-374b,miRNA,miRNA,miRNA-miRNA,,0.7761091354066256,,,0.7761091354066256,1.794171799075049e-07,6.485442998407424e-07,,
hsa-let-7c,hsa-miR-25,miRNA,miRNA,miRNA-miRNA,,0.7751011422428263,,,0.7751011422428263,1.905196459718341e-07,6.837196972376304e-07,,
hsa-let-7c,hsa-miR-429,miRNA,miRNA,miRNA-miRNA,,0.7714864666390362,,,0.7714864666390362,2.3570408355760514e-07,8.123879988366684e-07,,
hsa-let-7c,hsa-miR-101,miRNA,miRNA,miRNA-miRNA,,0.7689922510153127,,,0.7689922510153127,2.723823758980371e-07,9.159457728561196e-07,,
hsa-let-7c,hsa-miR-455-5p,miRNA,miRNA,miRNA-miRNA,,0.7664319112982444,,,0.7664319112982444,3.1539616409111077e-07,1.0461152064446873e-06,,
