source,target,source_type,target_type,edge_type,regulatory_type,weight,mi_value,mi,pearson_r,pearson_p,pearson_p_fdr,miRDB_score,comparison
hsa-let-7c,hsa-miR-99a,miRNA,miRNA,miRNA-miRNA,,0.9439216078179402,,,0.9439216078179402,3.0389196718974012e-55,2.4341746571898182e-52,,
hsa-let-7c,hsa-miR-125b,miRNA,miRNA,miRNA-miRNA,,0.7345704097548076,,,0.7345704097548076,2.0577222484743972e-20,3.0981870696014886e-19,,
hsa-let-7c,hsa-miR-145,miRNA,miRNA,miRNA-miRNA,,0.732798996889027,,,0.732798996889027,2.819029809752812e-20,4.197105720468406e-19,,
hsa-let-7c,hsa-miR-199a-5p,miRNA,miRNA,miRNA-miRNA,,0.7287731957399453,,,0.7287731957399453,5.712121073230222e-20,8.027033297644576e-19,,
hsa-let-7c,hsa-miR-195,miRNA,miRNA,miRNA-miRNA,,0.7276235325402437,,,0.7276235325402437,6.972342661149304e-20,9.56309327325444e-19,,
hsa-let-7c,hsa-miR-497,miRNA,miRNA,miRNA-miRNA,,0.6716165693832976,,,0.6716165693832976,3.8892237081011024e-16,2.7814894555258774e-15,,
hsa-let-7c,hsa-miR-10b,miRNA,miRNA,miRNA-miRNA,,0.6698803575503476,,,0.6698803575503476,4.931732491189652e-16,3.459122351526192e-15,,
hsa-let-7c,hsa-let-7f,miRNA,miRNA,miRNA-miRNA,,0.6240528790264972,,,0.6240528790264972,1.5314063638702986e-13,7.748292283249385e-13,,
hsa-let-7c,hsa-miR-216a,miRNA,miRNA,miRNA-miRNA,,0.612729651377568,,,0.612729651377568,5.486704378071677e-13,2.6222256604029915e-12,,
hsa-let-7c,hsa-let-7i,miRNA,miRNA,miRNA-miRNA,,0.5935431975900943,,,0.5935431975900943,4.261239690573236e-12,1.815560102207001e-11,,
hsa-let-7c,hsa-let-7g,miRNA,miRNA,miRNA-miRNA,,0.5792795975376908,,,0.5792795975376908,1.7956575540423353e-11,7.029920336206796e-11,,
hsa-let-7c,hsa-miR-127-3p,miRNA,miRNA,miRNA-miRNA,,0.5729701408581291,,,0.5729701408581291,3.319293763987002e-11,1.2721312463892768e-10,,
hsa-let-7c,hsa-miR-26b,miRNA,miRNA,miRNA-miRNA,,0.5545474149736658,,,0.5545474149736658,1.8560816865196093e-10,6.578413411071712e-10,,
hsa-let-7c,hsa-miR-490-3p,miRNA,miRNA,miRNA-miRNA,,0.5283953147127238,,,0.5283953147127238,1.7971665914596874e-09,5.748923481466493e-09,,
hsa-let-7c,hsa-miR-27a,miRNA,miRNA,miRNA-miRNA,,0.5264957379619598,,,0.5264957379619598,2.103670981297485e-09,6.697299109774585e-09,,
hsa-let-7c,hsa-miR-484,miRNA,miRNA,miRNA-miRNA,,0.5182023982088284,,,0.5182023982088284,4.136878938022681e-09,1.283361746458624e-08,,
hsa-let-7c,hsa-miR-148a,miRNA,miRNA,miRNA-miRNA,,0.5079047994570124,,,0.5079047994570124,9.344581851941831e-09,2.805476035759148e-08,,
