n_d,n_a,n_steps,lr,mean_val_macro_f1,std_val_macro_f1
32,16,3,0.01,0.889464817847022,0.023632305378113116
16,32,3,0.01,0.8449219304431154,0.07733005024962292
8,8,3,0.01,0.8431374366922946,0.12670904134087002
8,32,3,0.01,0.829405589160791,0.08833168601751228
32,32,3,0.01,0.8293775802151794,0.04220954846917949
16,16,3,0.01,0.8204089785776884,0.0911514964773598
16,8,3,0.01,0.7767490853340944,0.07965792463126678
8,16,3,0.01,0.7688591463575983,0.036622457679691765
16,8,5,0.01,0.7666948142619818,0.048570260364106346
32,16,5,0.01,0.7628792996487168,0.04584795309546562
8,32,5,0.01,0.741709320385345,0.04240961203753596
32,32,5,0.01,0.7398432648340069,0.0533640866201074
32,8,3,0.01,0.7369431728061882,0.14738197547765056
16,16,5,0.01,0.7300943420922132,0.05620463449410378
32,8,5,0.01,0.7286952620711589,0.03994040099904853
16,32,5,0.01,0.7246575065089247,0.058453881554744874
8,16,5,0.01,0.6988824098131998,0.055306719397437525
8,8,5,0.01,0.6891946740291867,0.06641154978220278
16,8,5,0.001,0.4904344447777841,0.05587135195526616
8,16,5,0.001,0.48683462168256764,0.06412128636333363
32,16,5,0.001,0.46945498095487015,0.06132724816945656
16,8,3,0.001,0.46534879275475616,0.0548374483610523
8,16,3,0.001,0.45969218811410417,0.08731398996742808
32,8,5,0.001,0.45253082910055503,0.06633033236290135
32,32,5,0.001,0.44952520614875136,0.03891272227534116
8,8,5,0.001,0.44659379952304734,0.08497523414465016
16,32,5,0.001,0.44139374868611647,0.05905797128182888
32,16,3,0.001,0.4384102812085269,0.0814926216984173
32,8,3,0.001,0.43638951585677443,0.06076128850226214
16,16,5,0.001,0.43558441049946,0.05023984195154465
8,8,3,0.001,0.43522096617426664,0.07047378834654852
8,32,5,0.001,0.4212462859897023,0.14253403141301527
16,32,3,0.001,0.41209693161225136,0.04873394052855276
32,32,3,0.001,0.4103266254180012,0.07670105908198627
16,16,3,0.001,0.40185410830373647,0.062278996710124164
8,32,3,0.001,0.35771244539456737,0.05196761112179278
