feature,importance
hsa-miR-150,0.1472259033589223
hsa-miR-542-3p,0.0969574639221257
hsa-miR-106b,0.05585131098020735
hsa-miR-16,0.05043555701741469
hsa-miR-934,0.039640506222373376
hsa-miR-520c-3p,0.03714336879549041
hsa-miR-490-3p,0.030192776403166168
hsa-miR-708,0.028213570736424887
CASP10,0.025728658468601173
MMP1,0.024128285883066786
hsa-miR-145,0.02291806509153434
L1CAM,0.022422766466612613
hsa-miR-183,0.021553642420838088
hsa-miR-128,0.020990982740262405
COL1A1,0.02040397204531727
LCK,0.019521019437231783
hsa-miR-106a+hsa-miR-17,0.0191878546519496
hsa-miR-125b,0.019079731853574405
hsa-miR-98,0.017162223931426763
MMP2,0.015980855162675854
hsa-miR-532-5p,0.014451364312594327
hsa-miR-216a,0.012147051554229108
ESR1,0.012081817282627466
BCL2A1,0.011833290896623367
hsa-miR-1299,0.011362013677367696
hsa-miR-340,0.01130542550339401
hsa-miR-186,0.010610472208733391
PDGFRB,0.01056734810176724
hsa-miR-20a+hsa-miR-20b,0.010278305716888035
hsa-miR-1274a,0.008999937779226416
S100A4,0.008931549648092483
MMP9,0.008691451774120515
WEE1,0.008600527367687781
hsa-miR-19a,0.007691814450089478
TGFA,0.005911162718328817
hsa-miR-199a-5p,0.005908662525639494
PTK7,0.005513517992487175
hsa-miR-26b,0.0052425652560450465
ETS1,0.004631110585267711
hsa-miR-362-3p,0.004511702058482517
hsa-miR-548g,0.004491719712743792
hsa-miR-107,0.0044496159731110905
hsa-miR-148a,0.004040524770642268
hsa-miR-579,0.00401935664218547
hsa-miR-2117,0.003984039841560982
hsa-miR-421,0.003930144937414067
NOTCH1,0.003135534892971719
ETV6,0.002771791577016636
WFDC2,0.002684399525099098
hsa-miR-154,0.0026754376205925605
hsa-miR-200b,0.0026546803322926387
hsa-miR-210,0.002637736387674827
PLA2G2A,0.002446357482142796
hsa-miR-455-5p,0.0022718501096119052
hsa-miR-194,0.0021822059010790915
hsa-miR-497,0.002157998901814917
MYCL1,0.0019691722810289193
hsa-miR-1305,0.0019399114098527616
hsa-let-7f,0.0017385698316370632
FOLR1,0.001690353208971004
IGF1,0.0014272463582512653
EGR1,0.0014153162589015246
hsa-miR-1246,0.001279239046855154
hsa-miR-10b,0.001268053450981169
TIMP2,0.0012112794526675317
hsa-miR-101,0.001201658110797537
hsa-miR-146a,0.0011474614540609258
IGFBP6,0.0010863001697902716
hsa-let-7g,0.0010834904215182954
hsa-miR-155,0.0009972738094948053
hsa-miR-93,0.0009840013304360914
hsa-miR-374a,0.0009745237211303566
IL1A,0.0009577408285372687
CSF3,0.000930794897931991
hsa-miR-15b,0.0008129972656849301
PDGFRA,0.0007287398015719415
hsa-miR-18b,0.0007219567318566067
PLAT,0.0007144201611012955
CCNE1,0.0006527478275782469
hsa-miR-96,0.0005613663098844662
MMP14,0.0005304208671950834
hsa-miR-200a,0.0005285156202114095
hsa-miR-205,0.0005094387904781831
hsa-miR-1308,0.0004944968160518039
hsa-miR-27a,0.00042572689666118977
hsa-miR-130b,0.0004198470540653181
hsa-miR-19b,0.00040131454111816075
hsa-miR-454,0.00038352322135976063
hsa-miR-24,0.00036689982043585105
TNF,0.0003236375921548228
hsa-miR-1975,0.0003084491982143377
DLC1,0.0003078420886622455
hsa-miR-187,0.00030618822844602055
EPS8,0.000298591513518854
SPP1,0.00025848789692771846
hsa-miR-425,0.0002446587719651882
hsa-miR-21,0.00023753056229719528
hsa-miR-660,0.00019730794064541475
hsa-miR-374b,0.000188216424549259
hsa-miR-663b,0.00016759241297316558
hsa-miR-141,0.0001644643327262069
hsa-miR-1979,0.0001481208965301729
GAS1,0.00013872855749540598
hsa-miR-127-3p,0.00010412533516916384
CD34,0.0001035338000070033
MPL,8.83715772635819e-05
TNFRSF1B,8.205878704347733e-05
IL8,6.761743397935487e-05
hsa-miR-15a,5.447740893364044e-05
hsa-miR-195,4.1846387907934715e-05
hsa-miR-509-3p,2.921950048767159e-05
FGFR1,2.2190105438569665e-05
hsa-miR-1290,1.6702929232297307e-05
hsa-miR-200c,2.2409424712142506e-06
hsa-miR-25,0.0
hsa-let-7i,0.0
hsa-miR-9,0.0
hsa-let-7c,0.0
hsa-miR-494,0.0
hsa-miR-484,0.0
hsa-miR-451,0.0
hsa-miR-429,0.0
hsa-miR-135b,0.0
hsa-miR-32,0.0
hsa-miR-29b,0.0
hsa-miR-99a,0.0
hsa-miR-203,0.0
hsa-miR-151-3p,0.0
hsa-miR-142-5p,0.0
hsa-miR-142-3p,0.0
FOS,0.0
FLT3,0.0
CSK,0.0
CSF3R,0.0
CAV1,0.0
ATM,0.0
CDKN1A,0.0
CEBPA,0.0
hsa-miR-1978,0.0
MMP3,0.0
JUN,0.0
LIF,0.0
PTHLH,0.0
PLAUR,0.0
TIMP3,0.0
TGFBI,0.0
