mirdb_threshold,correlation_cutoff,n_pairs,n_unique_mirnas,n_unique_mrnas,percent_of_default_pairs
50,0.05,55,16,21,423.1
50,0.1,24,12,13,184.6
50,0.15,10,7,6,76.9
50,0.2,2,2,1,15.4
50,0.3,0,0,0,0.0
60,0.05,40,13,16,307.7
60,0.1,19,10,10,146.2
60,0.15,7,5,4,53.8
60,0.2,2,2,1,15.4
60,0.3,0,0,0,0.0
70,0.05,27,9,13,207.7
70,0.1,13,7,7,100.0
70,0.15,6,4,4,46.2
70,0.2,1,1,1,7.7
70,0.3,0,0,0,0.0
80,0.05,21,6,9,161.5
80,0.1,9,4,4,69.2
80,0.15,5,3,3,38.5
80,0.2,0,0,0,0.0
80,0.3,0,0,0,0.0
90,0.05,10,3,5,76.9
90,0.1,2,1,1,15.4
90,0.15,2,1,1,15.4
90,0.2,0,0,0,0.0
90,0.3,0,0,0,0.0
