mirdb_threshold,correlation_cutoff,n_pairs,n_unique_mirnas,n_unique_mrnas,accuracy,macro_f1,f1_normal,f1_primary,f1_metastatic,macro_auroc,best_params,notes,percent_of_default_pairs
50,0.05,55,16,21,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",423.1
50,0.1,24,12,13,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",184.6
50,0.15,10,7,6,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",76.9
50,0.2,2,2,1,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",15.4
50,0.3,0,0,0,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",0.0
60,0.05,40,13,16,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",307.7
60,0.1,19,10,10,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",146.2
60,0.15,7,5,4,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",53.8
60,0.2,2,2,1,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",15.4
60,0.3,0,0,0,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",0.0
70,0.05,27,9,13,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",207.7
70,0.1,13,7,7,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",100.0
70,0.15,6,4,4,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",46.2
70,0.2,1,1,1,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",7.7
70,0.3,0,0,0,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",0.0
80,0.05,21,6,9,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",161.5
80,0.1,9,4,4,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",69.2
80,0.15,5,3,3,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",38.5
80,0.2,0,0,0,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",0.0
80,0.3,0,0,0,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",0.0
90,0.05,10,3,5,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",76.9
90,0.1,2,1,1,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",15.4
90,0.15,2,1,1,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",15.4
90,0.2,0,0,0,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",0.0
90,0.3,0,0,0,0.9361702127659575,0.9249164578111945,0.875,0.9473684210526315,0.9523809523809523,0.9768267794583584,n/a (fixed saved model; no retraining in threshold sweep),"XGBoost uses fixed DE expression features; threshold sweep affects regulatory pair construction, not XGBoost input features.",0.0
