model,modality,feature,rank,score
xgboost,mirna,hsa-miR-542-3p,1,0.6675424
xgboost,mirna,hsa-miR-106b,2,0.4159516
xgboost,mirna,hsa-miR-10b,3,0.24803752
xgboost,mirna,hsa-miR-145,4,0.24338247
xgboost,mirna,hsa-miR-29b,5,0.15521216
xgboost,mirna,hsa-miR-1979,6,0.09854746
xgboost,mirna,hsa-miR-708,7,0.09243771
xgboost,mirna,hsa-miR-125b,8,0.06610242
xgboost,mirna,hsa-miR-2117,9,0.06192409
xgboost,mirna,hsa-miR-194,10,0.04711995
xgboost,mirna,hsa-miR-421,11,0.04711307
xgboost,mirna,hsa-miR-146a,12,0.045545753
xgboost,mirna,hsa-miR-425,13,0.038761716
xgboost,mirna,hsa-miR-151-3p,14,0.038253024
xgboost,mirna,hsa-let-7g,15,0.031935234
xgboost,mrna,IL1A,1,0.020426191
xgboost,mrna,L1CAM,2,0.016034823
xgboost,mrna,CSF3,3,0.015680388
xgboost,mrna,MMP1,4,0.013866107
xgboost,mrna,MYCL1,5,0.012091979
xgboost,mrna,FLT3,6,0.01022553
xgboost,mrna,PLAUR,7,0.00784346
xgboost,mrna,PLA2G2A,8,0.007435751
xgboost,mrna,FGFR1,9,0.005748634
xgboost,mrna,CEBPA,10,0.0053604525
xgboost,mrna,FOLR1,11,0.005308475
xgboost,mrna,CASP10,12,0.0052620578
xgboost,mrna,IL8,13,0.0049902447
xgboost,mrna,MMP14,14,0.003982968
xgboost,mrna,TIMP2,15,0.0038142102
gat,mirna,hsa-miR-155,1,3.2694125672888865
gat,mirna,hsa-miR-98,2,3.2650519622449776
gat,mirna,hsa-miR-494 (+++ See note below),3,3.212804163469859
gat,mirna,hsa-miR-19b,4,3.1726886636913485
gat,mirna,hsa-miR-106b,5,3.1375144908137176
gat,mirna,hsa-miR-708,6,3.0848959477997897
gat,mirna,hsa-miR-16 (+++ See note below),7,3.084756659807069
gat,mirna,hsa-miR-127-3p,8,3.0779275704988205
gat,mirna,hsa-miR-374a,9,3.0577426297053885
gat,mirna,hsa-miR-101,10,3.053690386874625
gat,mirna,hsa-miR-425,11,2.996915621058229
gat,mirna,hsa-miR-93,12,2.983408980244062
gat,mirna,hsa-miR-96,13,2.938015530920622
gat,mirna,hsa-miR-451,14,2.920355316963794
gat,mirna,hsa-miR-216a,15,2.90995038966759
gat,mrna,PTHLH,1,5.406787018501602
gat,mrna,PLAT,2,4.650888346852619
gat,mrna,LCK,3,4.583828702306425
gat,mrna,L1CAM,4,4.493963501094997
gat,mrna,MPL,5,4.161382382579456
gat,mrna,PLAUR,6,3.4880360801571344
gat,mrna,PDGFRB,7,3.4053434208696443
gat,mrna,CSK,8,3.340865474967336
gat,mrna,ETS1,9,3.2695563779511483
gat,mrna,MMP14,10,3.203653671497441
gat,mrna,CD34,11,3.103410391247145
gat,mrna,TIMP2,12,3.04353098269444
gat,mrna,BCL2A1,13,2.8970728990787644
gat,mrna,ATM,14,2.8664041204907997
gat,mrna,WFDC2,15,2.851891707769182
