feature,mean_abs_shap
hsa-let-7c,0.0009787872
hsa-let-7f,0.01776128
hsa-let-7g,0.031935234
hsa-let-7i,0.00020633511
hsa-miR-9,0.00078602287
hsa-miR-10b,0.24803752
hsa-miR-15a,0.011780742
hsa-miR-15b,0.0053481357
hsa-miR-16 (+++ See note below),0.0022611073
hsa-miR-18b,0.0007964779
hsa-miR-19a,0.0012107752
hsa-miR-19b,0.0015623355
hsa-miR-20a+hsa-miR-20b,0.0
hsa-miR-21,0.030194324
hsa-miR-24,0.0038236727
hsa-miR-25,0.00020449286
hsa-miR-26b,0.00077798957
hsa-miR-27a,0.0002780582
hsa-miR-29b,0.15521216
hsa-miR-32,0.006410078
hsa-miR-93,0.00023040554
hsa-miR-96,0.0003565997
hsa-miR-98,0.004334397
hsa-miR-99a,0.00018947819
hsa-miR-101,0.0016539836
hsa-miR-106a+hsa-miR-17,0.0018981835
hsa-miR-106b,0.4159516
hsa-miR-107,0.0
hsa-miR-125b,0.06610242
hsa-miR-127-3p,0.0
hsa-miR-128,0.00030150748
hsa-miR-130b,0.021832751
hsa-miR-135b,0.0008484103
hsa-miR-141,0.0005775296
hsa-miR-142-3p,0.001026415
hsa-miR-142-5p,0.0021172683
hsa-miR-145,0.24338247
hsa-miR-146a,0.045545753
hsa-miR-148a,0.00020009051
hsa-miR-150,0.001737085
hsa-miR-151-3p,0.038253024
hsa-miR-154,0.00069028133
hsa-miR-155,0.017199088
hsa-miR-183,0.00010604659
hsa-miR-186,0.0
hsa-miR-187,0.0055219424
hsa-miR-194,0.04711995
hsa-miR-195,0.0006262913
hsa-miR-199a-5p,0.015330441
hsa-miR-200a,0.01026173
hsa-miR-200b,0.0004828911
hsa-miR-200c,0.00018036907
hsa-miR-203,0.0058737057
hsa-miR-205,0.021395946
hsa-miR-210,0.0005685409
hsa-miR-216a,0.00020834953
hsa-miR-340,0.0015330435
hsa-miR-362-3p,0.0033888875
hsa-miR-374a,0.00034969577
hsa-miR-374b,0.015868383
hsa-miR-421,0.04711307
hsa-miR-425,0.038761716
hsa-miR-429,0.00085549493
hsa-miR-451,0.00861879
hsa-miR-454,0.0
hsa-miR-455-5p,0.0
hsa-miR-484,0.00011385723
hsa-miR-490-3p,0.028893571
hsa-miR-494 (+++ See note below),0.012843519
hsa-miR-497,0.00042604812
hsa-miR-509-3p,0.0062260716
hsa-miR-520c-3p,7.2216295e-05
hsa-miR-532-5p,0.0
hsa-miR-542-3p,0.6675424
hsa-miR-548g,0.0037702136
hsa-miR-579 (+++ See note below),0.002593373
hsa-miR-660,0.019486805
hsa-miR-663b,0.0007919602
hsa-miR-708,0.09243771
hsa-miR-934,0.014446395
hsa-miR-1246,0.00054708077
hsa-miR-1274a,0.0013690875
hsa-miR-1290,0.011097178
hsa-miR-1299,0.0
hsa-miR-1305,0.0013611803
hsa-miR-1308,0.007464558
hsa-miR-1975,0.028750163
hsa-miR-1978,0.00056651817
hsa-miR-1979,0.09854746
hsa-miR-2117,0.06192409
ATM,0.0008442985
BCL2A1,0.00051995966
CASP10,0.0052620578
CAV1,0.0005411125
CCNE1,0.0031698593
CD34,0.00011549495
CDKN1A,0.0011264539
CEBPA,0.0053604525
COL1A1,0.0005715221
CSF3,0.015680388
CSF3R,0.0032482708
CSK,0.0026492148
DLC1,0.0
EGR1,0.00059912127
EPS8,0.0017415818
ESR1,0.00048756573
ETS1,0.0022715963
ETV6,0.0007333258
FGFR1,0.005748634
FLT3,0.01022553
FOLR1,0.005308475
FOS,0.0010784022
GAS1,7.319117e-05
IGF1,0.0015136029
IGFBP6,0.00014732541
IL1A,0.020426191
IL8,0.0049902447
JUN,0.003429969
L1CAM,0.016034823
LCK,0.0035417974
LIF,0.001056554
MMP1,0.013866107
MMP2,0.0034607372
MMP3,0.00060101296
MMP9,0.0030124362
MMP14,0.003982968
MPL,0.0
MYCL1,0.012091979
NOTCH1,0.0
PDGFRA,5.059418e-05
PDGFRB,0.0
PLA2G2A,0.007435751
PLAT,0.00077100727
PLAUR,0.00784346
PTHLH,0.0004166361
PTK7,0.0032690736
S100A4,0.002911764
SPP1,0.0014440828
TGFA,0.00019474067
TGFBI,0.00091004994
TIMP2,0.0038142102
TIMP3,0.001866812
TNF,0.00010514419
TNFRSF1B,0.00030704943
WEE1,0.0007801056
WFDC2,0.0023263074
